pattern,1.0,2.0,4.0,7.0,8.0,9.0,10.0,13.0,14.0,16.0,18.0,19.0,22.0,26.0,AD,APOE4_BIN,Age@AV45,CSF_ABETA_closest_AV45,CSF_ABETA_slope,CSF_TAU_closest_AV45,CSF_TAU_slope,FAQTOTAL_AV45_6MTHS,FAQTOTAL_slope,FDG_PONS_AV45_6MTHS,FDG_postAV45_slope,FSX_HC/ICV_BL_3months,FSX_HC/ICV_slope,Gender,Handedness,MCI,MMSE_AV45_3MTHS,MMSEslope_postAV45,N,N-AD,N-MCI,N-N,NPITOTAL_AV45_6MTHS,NPITOTAL_slope,SMC,SMC-AD,SMC-SMC,UW_EF_BL_3months,UW_EF_slope,UW_MEM_BL_3months,UW_MEM_slope,WMH_percentOfICV_AV45_6MTHS,WMH_percentOfICV_slope,below_threshold,cortical_summary,cortical_summary_change,count_post,count_prior,neg-neg,neg-pos,pos-neg,pos-pos
1.0,0.607142857143,0.0,0.0,0.0,0.0,0.0357142857143,0.0,0.0,0.0357142857143,0.0,0.321428571429,0.0,0.0,0.0,0.0,0.121951219512,74.123615,232.394285714,-5.59358384615,56.9794117647,-3.81645666667,0.0975609756098,0.0199075,1.33409878049,-0.010072173913,0.00497820512821,-3.61111111111e-06,1.31707317073,1.14634146341,0.0322580645161,29.4358974359,-0.2292675,0.741935483871,,0.0357142857143,0.857142857143,0.264705882353,0.514181578947,0.225806451613,,0.107142857143,1.06868292683,-0.008294,0.987024390244,0.0337805,0.00222647058824,0.000233103448276,0.999994144706,0.939739335226,0.0174186961896,21.0,41.0,0.964285714286,0.0357142857143,0.0,0.0
2.0,0.0,0.0,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,75.9839125,126.05,0.525206666667,76.8333333333,4.07057,1.11111111111,0.7326875,1.30295666667,0.01275,0.00500571428571,-0.000125,1.55555555556,1.0,0.0,29.25,-0.30135,0.727272727273,,,1.0,2.25,0.8468375,0.272727272727,,,0.461888888889,-0.03188375,0.702111111111,0.020935,0.00386285714286,7.6e-05,0.0440468356764,1.67936714177,0.107541535659,2.0,9.0,0.0,0.0,0.0,1.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555556,0.818181818182,74.58755,132.55,-2.047745,92.55,-4.1524925,1.09090909091,0.62542,1.32842909091,0.009172,0.004855,-0.00027375,1.72727272727,1.09090909091,0.0,27.9,0.0855,0.666666666667,0.166666666667,,0.666666666667,1.09090909091,-0.0127,0.277777777778,,0.166666666667,0.7672,-0.018133,0.7807,-0.178365,0.00436,-0.0006925,0.0142389385973,2.25560771448,0.132556608838,7.0,11.0,0.0,0.0,0.0,1.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.105425,150.6,-2.03831,61.6,4.78766,0.0,0.195,1.19776,-0.03793,0.0045725,-3e-05,1.5,1.0,0.0,27.6666666667,0.3301,0.714285714286,,,0.666666666667,0.75,0.6385,0.285714285714,,0.333333333333,0.71725,-0.0470575,0.93575,-0.045085,0.0132433333333,0.00371,2.12237635885e-06,2.00654223391,0.131695153446,3.0,4.0,0.0,0.0,0.0,1.0
8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.736842105263,77.2177526316,134.828571429,0.51183,92.1,8.92404333333,1.89473684211,0.318184210526,1.25801578947,-0.017407,0.004898125,-9.2e-05,1.68421052632,1.0,0.0833333333333,28.1578947368,-0.926811111111,0.638888888889,0.2,0.2,0.6,0.9375,0.123131578947,0.166666666667,,,0.250052631579,-0.0123016666667,0.720842105263,-0.0560661111111,0.00291,-0.000416363636364,0.00092799502907,1.92890597507,0.0816323179267,17.0,19.0,0.0,0.0,0.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,71.1963307692,228.5,-1.03793,61.0,-1.80318666667,0.461538461538,0.329266666667,1.22025692308,-0.0347166666667,0.00508384615385,-0.000123636363636,1.30769230769,1.0,0.0526315789474,28.4444444444,0.448866666667,0.736842105263,,0.166666666667,0.833333333333,1.84615384615,0.0829363636364,0.210526315789,,,0.729307692308,-0.102965833333,1.30976923077,0.159415,0.00380333333333,0.000434545454545,0.994858587561,1.1163751699,-0.0027703036008,6.0,13.0,1.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.142857142857,76.3244428571,144.515384615,-0.74317,105.261538462,-0.168614,0.8,0.986373333333,1.30142866667,-0.0198475,0.00494636363636,-0.000166363636364,1.8,1.13333333333,0.0434782608696,28.7857142857,-0.277485714286,0.782608695652,0.125,0.125,0.75,1.76923076923,-1.11256428571,0.130434782609,,,0.715133333333,-0.133305714286,0.7612,0.153855714286,0.006781,0.00044,0.0379869099089,1.80777106429,0.0357965535635,8.0,15.0,0.0,0.0,0.0,1.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.111111111111,78.2124888889,167.5,-15.73276,81.14,-2.66247,0.555555555556,-0.136622222222,1.30880222222,0.0075375,0.00460375,-0.000115,1.77777777778,1.0,0.0,29.0,-0.286488888889,0.916666666667,,,1.0,0.714285714286,0.261744444444,0.0833333333333,,,0.626555555556,-0.0907088888889,0.835444444444,0.0161077777778,0.007092,0.0003675,0.675088823387,1.21813335535,0.0524242445987,3.0,9.0,0.666666666667,0.0,0.0,0.333333333333
14.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,76.0516285714,195.666666667,3.204875,88.3333333333,4.08552,0.0,0.0,1.30439142857,-0.0173725,0.00558166666667,-7.16666666667e-05,1.71428571429,1.14285714286,0.0833333333333,28.8571428571,0.0638285714286,0.75,,0.25,0.75,1.0,-0.38924,0.166666666667,,,0.736,0.281788571429,0.946571428571,-0.225388571429,0.0116416666667,0.000148,0.418733323553,1.30853200707,0.0770655594165,5.0,7.0,0.25,0.25,0.0,0.5
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303,0.848484848485,0.0909090909091,0.030303030303,0.0,0.0,0.0,0.242424242424,72.9154209677,214.989583333,-5.45655777778,59.20625,1.62981875,0.469696969697,0.0499126984127,1.33833984615,-0.0097025,0.00519826923077,-8.12765957447e-05,1.71212121212,1.09090909091,0.0,28.8870967742,0.127465079365,0.704081632653,,,0.818181818182,2.0,0.565959016393,0.295918367347,,0.181818181818,0.742859375,0.0551882539683,1.0635,-0.0270009375,0.00406125,0.000570408163265,0.968229888418,1.10429450321,0.0157448900505,32.0,66.0,0.909090909091,0.0909090909091,0.0,0.0
18.0,0.0606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0151515151515,0.0,0.0606060606061,0.818181818182,0.0454545454545,0.0,0.0,0.0104712041885,0.186991869919,74.0874447154,223.884042553,-2.94024166667,57.1802197802,0.108032333333,0.36,0.00788196721311,1.32211300813,-0.008444375,0.00506203703704,-7.4387755102e-05,1.456,1.128,0.020942408377,29.0603448276,-0.0650909090909,0.811518324607,0.0147058823529,0.0735294117647,0.882352941176,1.19626168224,0.0221367521368,0.157068062827,0.0147058823529,0.0147058823529,0.914282258065,-0.0247024793388,0.891612903226,0.0304479338843,0.0029044,3.69892473118e-05,0.999894342565,0.972486437448,0.00911981608366,66.0,125.0,1.0,0.0,0.0,0.0
19.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0555555555556,0.5,77.0745521739,136.571428571,-2.468986,95.8904761905,1.380976,0.25,0.662520833333,1.25725291667,-0.0148318181818,0.00482117647059,-3.68421052632e-05,1.54166666667,1.08333333333,0.0,29.1818181818,-0.399922727273,0.694444444444,0.1,0.1,0.6,0.894736842105,0.529915,0.25,,0.2,0.486125,-0.11723125,0.754375,-0.069865,0.00745578947368,0.000806875,0.155292690051,1.44178775289,0.048926424863,13.0,24.0,0.0,0.0909090909091,0.0,0.909090909091
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.142857142857,71.7446,232.442857143,2.91795,69.7571428571,6.70617,0.0,0.0,1.45077166667,0.05035,0.00448,-9.4e-05,1.71428571429,1.14285714286,0.111111111111,29.1428571429,0.3059,0.555555555556,,0.5,0.5,1.85714285714,-0.359433333333,0.333333333333,,,0.850285714286,-0.0393383333333,0.914714285714,0.116048333333,0.004405,0.00025,0.635632459125,1.24238357247,-0.0380578547159,2.0,7.0,1.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.5,82.2225111111,101.75,,109.45,,1.4,1.50895,1.11785666667,-0.02305,0.00397666666667,-0.00015,1.3,1.0,0.0,28.5,-1.172475,1.0,0.333333333333,0.333333333333,0.333333333333,2.0,-0.392142857143,0.0,,,0.2829,-0.1122,0.5834,-0.059215,0.00684,-0.001065,0.0219561762713,1.69725891118,0.0283479826807,1.0,10.0,0.0,0.0,0.0,1.0
